Title,Bookmark
Yellowstone NP,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Annual%20Park%20Recreation%20Visitation%20(1904%20-%20Last%20Calendar%20Year)

Year,RecreationVisitors,TotalRecreationVisitors
1904,"13,727","187,291,938"
1905,"26,188","187,291,938"
1906,"17,182","187,291,938"
1907,"16,414","187,291,938"
1908,"19,542","187,291,938"
1909,"32,545","187,291,938"
1910,"19,575","187,291,938"
1911,"23,054","187,291,938"
1912,"22,970","187,291,938"
1913,"24,929","187,291,938"
1914,"20,250","187,291,938"
1915,"51,895","187,291,938"
1916,"35,849","187,291,938"
1917,"35,400","187,291,938"
1918,"21,275","187,291,938"
1919,"62,261","187,291,938"
1920,"79,777","187,291,938"
1921,"81,651","187,291,938"
1922,"98,223","187,291,938"
1923,"138,352","187,291,938"
1924,"144,158","187,291,938"
1925,"154,282","187,291,938"
1926,"187,807","187,291,938"
1927,"200,825","187,291,938"
1928,"230,984","187,291,938"
1929,"260,697","187,291,938"
1930,"227,901","187,291,938"
1931,"221,248","187,291,938"
1932,"157,624","187,291,938"
1933,"161,938","187,291,938"
1934,"260,775","187,291,938"
1935,"317,998","187,291,938"
1936,"432,570","187,291,938"
1937,"499,242","187,291,938"
1938,"466,185","187,291,938"
1939,"486,936","187,291,938"
1940,"526,437","187,291,938"
1941,"579,696","187,291,938"
1942,"185,746","187,291,938"
1943,"61,696","187,291,938"
1944,"86,593","187,291,938"
1945,"189,264","187,291,938"
1946,"807,917","187,291,938"
1947,"937,776","187,291,938"
1948,"1,018,279","187,291,938"
1949,"1,131,159","187,291,938"
1950,"1,110,524","187,291,938"
1951,"1,163,894","187,291,938"
1952,"1,350,295","187,291,938"
1953,"1,326,858","187,291,938"
1954,"1,328,900","187,291,938"
1955,"1,368,500","187,291,938"
1956,"1,457,800","187,291,938"
1957,"1,595,900","187,291,938"
1958,"1,442,400","187,291,938"
1959,"1,408,700","187,291,938"
1960,"1,443,300","187,291,938"
1961,"1,524,100","187,291,938"
1962,"1,925,200","187,291,938"
1963,"1,872,500","187,291,938"
1964,"1,929,300","187,291,938"
1965,"2,062,500","187,291,938"
1966,"2,130,300","187,291,938"
1967,"2,210,000","187,291,938"
1968,"2,229,700","187,291,938"
1969,"2,193,700","187,291,938"
1970,"2,297,300","187,291,938"
1971,"2,120,500","187,291,938"
1972,"2,236,888","187,291,938"
1973,"2,061,700","187,291,938"
1974,"1,928,900","187,291,938"
1975,"2,239,500","187,291,938"
1976,"2,519,200","187,291,938"
1977,"2,481,900","187,291,938"
1978,"2,618,380","187,291,938"
1979,"1,892,908","187,291,938"
1980,"2,000,269","187,291,938"
1981,"2,521,831","187,291,938"
1982,"2,368,897","187,291,938"
1983,"2,347,242","187,291,938"
1984,"2,222,027","187,291,938"
1985,"2,226,159","187,291,938"
1986,"2,363,756","187,291,938"
1987,"2,573,194","187,291,938"
1988,"2,182,113","187,291,938"
1989,"2,644,442","187,291,938"
1990,"2,823,572","187,291,938"
1991,"2,920,537","187,291,938"
1992,"3,144,405","187,291,938"
1993,"2,912,193","187,291,938"
1994,"3,046,145","187,291,938"
1995,"3,125,285","187,291,938"
1996,"3,012,171","187,291,938"
1997,"2,889,513","187,291,938"
1998,"3,120,830","187,291,938"
1999,"3,131,381","187,291,938"
2000,"2,838,233","187,291,938"
2001,"2,758,526","187,291,938"
2002,"2,973,677","187,291,938"
2003,"3,019,375","187,291,938"
2004,"2,868,317","187,291,938"
2005,"2,835,651","187,291,938"
2006,"2,870,295","187,291,938"
2007,"3,151,343","187,291,938"
2008,"3,066,580","187,291,938"
2009,"3,295,187","187,291,938"
2010,"3,640,185","187,291,938"
2011,"3,394,326","187,291,938"
2012,"3,447,729","187,291,938"
2013,"3,188,030","187,291,938"
2014,"3,513,484","187,291,938"
2015,"4,097,710","187,291,938"
2016,"4,257,177","187,291,938"
2017,"4,116,524","187,291,938"
2018,"4,115,000","187,291,938"
2019,"4,020,288","187,291,938"

